l5e1,l5e2,l5e3,l5e4,l5e5,l5e6,l5e7,l5e8,l7e1,l7e2,l7e3,l7e4,l7e5,l7e6,l7e7,l7e8,maj_class
1078,1084,599,1229,1260,795,1623,1448,1025,1498,863,1095,827,933,1340,1663,297
954,1251,963,1230,1242,1676,1167,713,1084,1597,1122,1025,1145,908,1215,1169,472
1054,894,813,1016,1216,1558,1316,1394,1103,1593,1185,1185,804,909,1364,1137,485
816,1161,629,1565,1346,1744,1090,664,1084,1550,1016,1086,1168,886,1307,1134,540
1744,1290,1247,1158,1098,812,989,697,1042,1462,781,1148,922,994,1277,1583,991
1297,1142,629,1321,1210,1393,1413,720,1110,1461,901,1148,770,1075,1361,1420,143
1015,1077,675,1169,1371,1242,1505,1226,1021,1390,877,1044,1005,937,1323,1638,361
1650,1091,1230,1017,1086,922,1120,992,1061,1529,1027,943,1067,935,1176,1523,390
1139,1283,595,1204,929,1095,1514,1521,1111,1411,1061,980,971,906,1303,1537,297
825,1605,878,1240,1018,1497,1186,848,1175,1457,1295,1029,1218,940,1168,998,472
1554,1485,886,1311,912,847,1018,931,1039,1534,929,999,891,954,1252,1631,991
1149,1574,605,1247,1124,1443,1213,858,1081,1414,1014,1165,863,1059,1343,1341,143
1288,1045,798,956,874,1470,1333,1464,1129,1411,1352,1033,918,941,1268,1228,485
1165,1358,748,1170,1032,1001,1575,1206,1105,1312,878,1030,1006,1020,1361,1568,361
768,1135,713,1543,1293,1686,1088,801,1043,1437,1065,983,1305,938,1319,1190,540
1721,1569,951,987,955,859,1077,1070,1053,1474,1094,1034,1094,980,1210,1341,390
850,1648,508,1145,964,944,1512,1471,1107,1444,1016,939,947,931,1268,1539,297
886,1501,860,1124,968,1513,1352,999,1132,1455,1110,992,1168,1012,1196,1201,472
1744,1641,1110,1177,1021,773,907,660,913,1544,1098,1097,947,1001,1077,1565,991
1288,1374,713,1286,1010,1507,1178,827,1052,1490,898,1186,859,1080,1241,1428,143
969,979,695,960,1020,1639,1042,1699,1120,1488,1288,1133,838,932,1415,1066,485
930,1487,675,1006,1216,996,1600,1287,994,1395,964,955,1029,1000,1196,1640,361
883,1197,592,1456,1360,1563,1277,784,1060,1530,979,1069,1248,1008,1298,1088,540
862,1528,412,981,1030,987,1646,1552,1118,1288,946,978,915,1003,1276,1670,297
1717,1551,787,855,916,944,1257,1089,1109,1363,1147,1026,1070,902,1297,1366,390
1149,1004,602,1169,895,1543,1203,1645,1096,1430,1421,1100,769,962,1427,1075,485
1158,1145,424,1325,1141,1348,1432,999,1138,1349,931,1164,770,1189,1443,1296,143
794,1350,887,993,1274,886,1634,1386,1045,1393,909,905,1079,915,1261,1628,361
1720,1475,1116,1026,1034,682,1037,803,1039,1507,891,1180,840,997,1237,1589,991
810,1564,686,1254,1027,1530,1224,943,1140,1475,1129,1091,1252,967,1030,1196,472
887,1252,571,1555,1277,1735,1086,698,1050,1545,1024,1032,1294,943,1215,1177,540
1509,1467,1157,946,981,783,1049,1131,1102,1304,1319,962,1172,1033,1202,1186,390
948,1630,570,964,1099,749,1714,1273,1169,1478,957,895,796,1096,1368,1521,361
912,1701,570,1241,1022,1396,1455,934,1210,1373,955,1074,803,1131,1393,1341,143
1127,1106,496,838,985,1661,1156,1592,1163,1272,1377,1059,899,1103,1386,1021,485
892,1304,692,1074,1122,789,1655,1655,1094,1267,964,954,1027,961,1294,1660,297
1649,1566,898,1133,864,866,1121,641,1040,1537,899,1147,851,975,1263,1568,991
933,1290,712,1135,877,1688,1208,1030,1169,1402,1159,944,1238,993,1345,1030,472
1078,1249,662,1084,1164,1269,1440,1163,1057,1458,974,1087,978,970,1245,1511,361
1155,1334,534,1285,1048,1697,1375,812,1122,1483,925,1116,806,1050,1350,1416,143
1629,1349,863,1019,921,1180,1050,1076,1150,1456,1143,1002,1046,965,1185,1333,390
738,1282,520,1500,1436,1516,1339,721,1089,1661,988,1068,1175,929,1289,1081,540
1092,1452,492,1062,1016,925,1668,1317,1114,1382,1043,1004,981,964,1244,1521,297
1684,1463,1078,1201,903,682,1078,711,983,1502,1035,1005,1006,936,1183,1604,991
1259,1138,773,990,863,1519,1129,1423,1081,1396,1532,1034,833,938,1247,1188,485
981,1400,710,1159,1155,1363,1251,1261,1048,1353,941,960,1054,1070,1263,1572,361
1481,1459,940,1032,911,1307,1213,782,1101,1397,1160,981,1041,1010,1173,1417,390
841,1277,683,1460,1316,1740,1057,666,1097,1431,1073,990,1196,1003,1372,1118,540
1049,1428,961,1137,944,1389,1276,1085,1067,1552,1216,1088,1251,894,1107,1105,472
