l5e1,l5e2,l5e3,l5e4,l5e5,l5e6,l5e7,l5e8,l7e1,l7e2,l7e3,l7e4,l7e5,l7e6,l7e7,l7e8,maj_class
989,1372,1016,1207,1117,1642,1167,612,1101,1582,1217,970,1231,898,1118,1163,472
1734,1531,1352,1120,1007,767,909,464,1023,1499,791,1104,959,950,1193,1664,991
1313,1108,640,1273,1111,1582,1425,616,1093,1462,948,1123,775,1092,1320,1467,143
982,1197,692,1103,1288,1189,1484,1182,1017,1380,901,1011,1040,917,1267,1621,361
1053,1593,1195,1204,956,1449,934,779,1139,1357,1115,996,1286,1003,1200,1184,472
1613,1455,1074,1283,876,773,957,634,975,1472,943,1019,992,1008,1140,1660,991
1447,1449,841,1258,1095,1250,1093,818,1060,1296,970,1237,851,1124,1316,1426,143
1039,1524,626,1058,1157,1028,1544,1186,1112,1316,941,984,1014,1042,1306,1565,361
1301,1087,541,1302,1115,1543,1533,795,1119,1407,765,1204,769,1160,1439,1417,143
906,1491,804,1259,923,1724,1289,730,1118,1516,1089,1138,1210,996,1066,1147,472
640,1293,879,1059,1310,1069,1604,1331,933,1391,853,870,1293,882,1079,1744,361
1736,1715,1031,1017,1000,583,1006,574,1009,1458,909,1107,857,1005,1307,1622,991
749,1632,545,1119,1336,773,1708,1178,1118,1425,876,879,981,1018,1310,1626,361
1060,1340,620,1318,1123,1515,1372,811,1171,1320,716,1168,899,1102,1379,1488,143
961,1450,803,1247,1052,1660,1056,868,1140,1400,1075,1053,1221,1012,1329,1050,472
1744,1593,1022,1298,1114,582,789,571,1012,1525,849,1126,882,998,1247,1625,991
1167,1359,567,1087,1216,1129,1365,1212,1107,1445,963,1052,949,940,1351,1454,361
996,1411,519,1328,1002,1679,1447,699,1172,1472,945,1121,772,1051,1393,1354,143
1744,1541,1125,1169,879,606,1027,670,1024,1525,999,1008,921,870,1153,1670,991
1107,1343,872,1267,820,1573,1182,803,1151,1523,1236,1095,1201,999,1128,947,472
965,1218,813,1150,1090,1461,1196,1318,1052,1300,949,923,1083,1009,1300,1619,361
1338,1543,593,1270,962,1597,1169,621,1072,1369,960,1122,813,1174,1385,1373,143
1724,1619,1250,1052,1023,559,825,587,965,1487,887,1082,995,946,1198,1686,991
1008,1737,938,1196,957,1689,904,627,1081,1394,1205,982,1254,1046,1166,1152,472
929,1284,468,1103,1374,1327,1542,1178,1110,1404,801,1028,939,991,1382,1625,361
1056,1088,509,1251,1101,1683,1486,714,1136,1367,938,1133,768,1120,1437,1381,143
888,1445,816,1252,1105,1671,1101,880,1126,1395,1162,980,1312,999,1118,1188,472
1711,1395,1363,1078,1042,511,907,632,1013,1409,783,1225,838,1011,1281,1654,991
916,1682,544,1134,1241,950,1580,1161,1036,1412,1050,987,1005,963,1331,1487,361
