l5e1,l5e2,l5e3,l5e4,l5e5,l5e6,l5e7,l5e8,l7e1,l7e2,l7e3,l7e4,l7e5,l7e6,l7e7,l7e8,maj_class
769,1493,881,1239,1042,1626,1106,716,1130,1455,1287,929,1343,974,1115,1047,472
721,1368,604,1093,1244,1315,1590,1293,1023,1309,958,994,1126,893,1309,1581,361
631,1558,1026,1230,979,1643,1203,889,1161,1403,1240,1018,1391,938,1173,956,472
842,1560,615,960,1205,1063,1644,1237,1086,1221,898,924,1039,1057,1283,1630,361
497,1441,824,1051,1248,976,1632,1336,1001,1435,900,923,1125,932,1182,1672,361
682,1702,677,1223,867,1700,1347,885,1185,1431,1209,1087,1262,1027,1126,953,472
875,1544,434,1077,1234,938,1725,1376,1092,1432,915,945,915,1032,1360,1569,361
847,1427,756,1237,827,1744,1180,950,1155,1487,1238,934,1267,1041,1248,910,472
895,1163,667,1098,1149,1356,1512,1440,1068,1367,817,1054,1054,977,1298,1622,361
595,1569,925,1353,1014,1744,973,864,1091,1502,1227,986,1320,998,1126,1030,472
838,1403,571,1095,1366,1206,1526,1239,1090,1335,873,949,1038,961,1351,1552,361
751,1564,845,1215,975,1675,1128,818,1136,1363,1265,1017,1356,1049,1118,976,472
760,1623,581,1063,1163,810,1611,1225,1087,1359,1066,951,1017,999,1368,1433,361
683,1688,754,1220,893,1711,1212,767,1150,1331,1270,990,1294,1132,1123,990,472
673,1471,701,973,1271,959,1608,1418,1136,1461,933,904,1008,912,1245,1640,361
590,1409,1094,1379,1038,1604,969,967,1170,1397,1273,887,1451,934,1223,939,472
737,1436,857,948,1239,1103,1513,1365,1046,1257,937,1009,1096,947,1401,1532,361
648,1382,529,1040,1198,1277,1604,1432,1011,1313,950,904,1091,1023,1211,1723,361
687,1714,829,1159,847,1739,1261,761,1107,1332,1395,978,1317,1033,1172,946,472
783,1613,528,1034,1297,1038,1585,1358,1025,1359,1077,985,1105,911,1295,1523,361
671,1719,758,1174,1142,1625,1162,733,1083,1384,1386,964,1336,1050,1187,890,472
608,1449,684,1090,1364,1159,1633,1209,1050,1358,876,968,1167,930,1276,1548,361
749,1704,725,1236,1051,1596,1224,632,1170,1389,1308,984,1258,1117,1211,843,472
737,1665,584,1018,1278,888,1585,1241,1134,1194,975,977,1107,1010,1260,1599,361
577,1736,712,1259,1038,1713,1041,860,1112,1221,1277,1030,1468,985,1045,1142,472
652,1554,918,1291,873,1669,1229,869,1113,1389,1280,901,1415,1025,1098,1058,472
842,1321,777,1018,1345,967,1470,1398,1099,1248,998,896,1108,982,1315,1624,361
774,1550,539,1066,1173,947,1734,1156,1102,1351,935,1071,985,944,1447,1444,361
729,1418,910,1277,1033,1672,1092,1010,1017,1388,1333,872,1442,987,1122,1119,472
671,1153,570,1097,1473,1006,1662,1553,938,1447,972,899,1140,960,1214,1668,361
652,1489,787,1261,1097,1716,1251,781,1126,1359,1302,899,1433,976,1111,1074,472
761,1606,595,1002,1148,780,1696,1487,1095,1362,1001,938,1094,951,1261,1564,361
655,1486,917,1163,968,1744,1096,772,1137,1363,1199,1036,1291,1063,1207,984,472
912,1658,798,1231,848,1710,1050,856,1079,1238,1443,958,1447,1023,1066,1026,472
830,1583,642,932,1375,917,1562,1231,985,1210,1131,946,1167,910,1179,1648,361
638,1487,923,1416,982,1694,1180,820,1098,1389,1327,938,1427,1047,1148,906,472
678,1300,767,950,1325,971,1643,1521,1081,1400,830,928,1116,953,1352,1610,361
748,1689,911,1172,903,1684,1081,755,1155,1275,1405,941,1438,997,1113,956,472
703,1457,669,904,1376,850,1673,1275,1151,1391,936,1005,980,898,1377,1422,361
652,1469,904,1212,1107,1738,1104,1002,1127,1322,1157,973,1424,887,1198,1192,472
770,1436,754,1027,1212,1112,1574,1369,1058,1314,926,996,1066,1017,1340,1563,361
635,1725,582,1352,1006,1591,1100,768,1143,1314,1336,964,1407,1092,1041,983,472
752,1702,732,1288,1002,1603,1032,901,1127,1304,1346,1050,1244,1005,1311,893,472
762,1438,531,1015,1354,1138,1601,1352,1112,1311,963,934,1185,919,1224,1629,361
756,1580,653,1019,1399,811,1551,1355,1058,1406,922,920,1068,945,1347,1567,361
650,1744,694,1280,1136,1485,1260,772,1166,1383,1303,926,1314,970,1105,1113,472
994,1552,572,1132,1153,982,1547,1182,1087,1370,945,1016,992,983,1386,1501,361
653,1489,733,1252,963,1549,1312,828,1165,1363,1119,1006,1292,1117,1259,959,472
759,1488,791,1078,1272,908,1589,1338,1138,1410,994,940,1023,948,1349,1441,361
798,1598,767,1239,849,1686,1262,763,1137,1375,1372,973,1289,1047,1181,906,472
699,1571,762,1025,1168,1012,1580,1343,1133,1390,809,978,1031,872,1335,1660,361
703,1511,843,1421,1004,1624,1024,895,1127,1366,1249,1031,1327,1046,1193,941,472
757,1255,810,1022,1400,977,1506,1367,1104,1321,873,933,1126,900,1362,1562,361
754,1695,852,1240,913,1693,998,806,1129,1229,1386,951,1404,990,1159,1032,472
827,1675,707,954,1267,872,1634,1319,1144,1329,886,908,989,938,1422,1652,361
634,1512,792,1107,920,1725,1389,1035,1167,1313,1311,900,1301,1073,1210,1005,472
752,1554,761,959,1154,913,1613,1389,1187,1253,1008,879,1140,980,1359,1474,361
608,1515,761,1298,1025,1711,1134,787,1132,1392,1195,987,1406,1034,1131,1003,472
647,1550,736,1148,1406,1014,1489,1222,1106,1255,974,971,1084,1021,1396,1448,361
745,1648,823,1205,903,1718,1190,769,1089,1276,1390,970,1416,998,1125,1016,472
675,1349,655,1117,1231,1258,1639,1311,1074,1335,856,873,1147,922,1362,1666,361
781,1730,729,1351,980,1642,1166,729,1118,1415,1432,975,1313,956,1136,935,472
545,1629,536,844,1296,1065,1736,1135,1093,1523,1095,940,1028,888,1381,1328,361
629,1561,756,1394,1025,1652,1377,823,1064,1381,1257,1063,1359,1087,1116,953,472
572,1538,619,1093,1166,1088,1640,1362,1120,1420,950,946,1023,985,1380,1456,361
826,1462,973,1172,940,1684,994,952,1198,1203,1264,960,1419,985,1216,1035,472
581,1589,722,1051,1403,958,1553,1218,1004,1247,1021,894,1149,958,1249,1619,361
655,1471,841,1251,952,1609,1231,786,1100,1453,1174,980,1304,1029,1089,1151,472
695,1614,831,1338,821,1642,1216,890,1183,1299,1372,838,1452,1024,1106,1006,472
659,1088,743,948,1373,1128,1658,1446,1049,1474,851,933,1129,935,1222,1577,361
643,1581,841,1231,931,1744,1235,875,1153,1320,1284,898,1466,904,1149,1106,472
591,1126,814,1130,1277,1335,1586,1421,1022,1383,891,951,1093,977,1379,1522,361
690,1646,700,1333,972,1642,1136,726,1102,1346,1260,1011,1307,1028,1167,1059,472
576,1301,846,941,1275,1271,1622,1295,1021,1350,795,1039,1071,1016,1341,1647,361
694,1628,795,1260,979,1702,1140,898,1049,1341,1372,1047,1371,1036,1108,956,472
619,993,1040,996,1483,1137,1460,1485,953,1345,839,933,1255,896,1247,1701,361
691,1573,859,1207,993,1597,1207,865,1107,1358,1246,932,1447,1073,1107,1010,472
766,1501,444,1044,1293,1043,1662,1488,1027,1305,915,989,1028,1042,1314,1643,361
643,1724,716,1317,1006,1744,1092,827,1090,1419,1180,1074,1247,1150,1140,980,472
519,1138,762,1075,1425,1341,1344,1548,1007,1364,923,891,1172,1047,1230,1624,361
717,1402,824,1286,951,1719,1232,891,1076,1462,1274,1010,1313,1048,1128,969,472
688,1275,756,976,1154,1164,1699,1453,1047,1239,947,919,1182,914,1348,1651,361
624,1675,788,1301,1010,1563,1315,921,1139,1338,1265,973,1324,1058,1248,934,472
942,1450,672,1007,1193,890,1539,1467,1043,1221,1084,884,1129,988,1160,1625,361
556,1679,699,1187,971,1702,1293,770,1123,1389,1322,1002,1382,963,1071,1028,472
627,1293,821,1080,1260,1079,1699,1318,1070,1269,888,967,1075,967,1468,1542,361
829,1618,852,1280,1008,1592,1124,753,1122,1334,1253,1009,1285,1111,1214,952,472
719,1192,824,1045,1145,954,1617,1615,1078,1165,822,986,1173,944,1318,1666,361
590,1461,920,1342,1050,1740,1117,833,1201,1303,1172,1043,1337,1039,1232,953,472
649,1302,762,1070,1486,1047,1431,1463,1079,1306,854,838,1188,1003,1258,1702,361
