l5e1,l5e2,l5e3,l5e4,l5e5,l5e6,l5e7,l5e8,l7e1,l7e2,l7e3,l7e4,l7e5,l7e6,l7e7,l7e8,maj_class
947,1192,463,1224,1211,794,1657,1567,1047,1449,898,1021,858,942,1339,1677,297
813,1389,877,1249,1150,1687,1174,678,1127,1555,1236,964,1241,929,1162,1052,472
910,871,734,992,1161,1503,1371,1442,1135,1600,1278,1133,772,931,1380,1051,485
1744,1525,1303,1146,1133,567,920,581,1024,1517,709,1174,893,996,1272,1652,991
1158,1147,505,1317,1187,1626,1527,691,1124,1492,950,1113,751,1101,1355,1394,143
848,1287,565,1150,1328,1243,1547,1269,1048,1333,901,1010,1061,949,1324,1636,361
1744,1246,1157,966,1006,983,1095,942,1104,1511,1070,860,1113,913,1156,1549,390
696,1284,575,1677,1353,1744,978,624,1098,1513,1066,1020,1311,887,1294,1091,540
953,1648,1100,1163,981,1420,1065,933,1138,1303,1106,964,1362,1013,1171,1223,472
1148,1436,492,1218,939,879,1551,1470,1143,1414,949,977,786,1024,1266,1644,297
1720,1488,1050,1322,898,690,938,706,962,1457,913,1040,958,1010,1138,1675,991
1408,1399,777,1198,1125,1344,1131,827,1075,1315,922,1214,827,1125,1347,1455,143
1027,931,612,1002,844,1716,1252,1672,1096,1487,1499,1097,806,927,1328,1040,485
1049,1439,623,1020,1199,1071,1528,1184,1134,1318,924,998,1024,998,1346,1532,361
743,1183,623,1552,1276,1679,1022,765,1074,1478,1172,945,1527,881,1248,953,540
1662,1528,1095,833,971,869,1052,1058,1020,1439,1163,903,1281,929,1095,1430,390
776,1562,407,1083,911,1152,1744,1542,1124,1344,959,957,994,909,1293,1624,297
957,1092,725,1022,965,1715,939,1724,1140,1387,1454,1082,772,921,1422,1102,485
1117,1122,446,1290,1106,1531,1560,947,1150,1383,801,1223,776,1102,1478,1367,143
799,1556,788,1208,919,1657,1302,761,1124,1549,1132,1101,1243,970,1068,1093,472
652,1213,777,1022,1291,1154,1608,1490,895,1340,925,898,1184,867,1105,1744,361
1744,1633,1037,938,973,462,1125,824,1009,1492,960,1095,835,1000,1345,1514,991
701,1327,596,1580,1278,1704,1059,797,1114,1386,1031,948,1469,957,1300,1075,540
1616,1494,1029,922,993,806,1098,1000,1071,1391,1096,962,1131,989,1154,1486,390
677,1573,659,1040,1312,826,1660,1249,1126,1402,1087,862,1020,978,1289,1516,361
1133,920,523,972,896,1625,1059,1739,1113,1360,1406,1088,864,979,1416,1027,485
923,1310,552,1347,1079,1494,1456,811,1189,1323,719,1121,882,1115,1430,1435,143
807,1284,568,1113,935,859,1677,1669,1157,1360,876,912,927,974,1331,1703,297
941,1507,836,1285,980,1738,1004,852,1140,1393,1193,1038,1295,935,1277,1009,472
1744,1618,1076,1232,1096,581,798,585,1004,1540,1075,1115,915,934,1201,1496,991
630,1051,526,1564,1473,1698,1294,616,1055,1659,981,1042,1251,952,1273,1064,540
1255,1421,594,994,1120,968,1575,1278,1106,1416,987,1051,900,963,1348,1449,361
860,1255,448,1335,1041,1551,1578,827,1201,1449,918,1111,791,1037,1446,1327,143
1718,1370,974,845,913,1006,1079,1047,1137,1377,1239,969,1125,1041,1189,1203,390
824,1415,446,1143,1030,839,1675,1553,1151,1331,958,907,969,971,1238,1734,297
1744,1474,1218,1145,829,634,989,781,975,1499,1156,951,985,868,1096,1620,991
1058,804,773,1009,916,1707,1085,1712,1131,1311,1630,1073,893,910,1276,1045,485
1009,1505,916,1227,783,1644,1116,915,1149,1467,1353,1078,1231,997,1132,855,472
1514,1467,1081,985,896,1059,1209,812,1101,1355,1237,957,1134,910,1194,1392,390
591,1358,554,1571,1293,1692,1272,714,1083,1416,1156,1053,1344,891,1321,1016,540
1047,1313,821,1106,1112,1339,1204,1338,1052,1275,933,921,1069,1038,1297,1683,361
1314,1543,557,1250,966,1587,1142,705,1069,1402,962,1093,767,1192,1375,1420,143
1744,1603,1256,978,1079,506,822,608,981,1507,945,1109,929,956,1205,1505,991
1273,1017,778,916,986,1556,1340,1401,1140,1565,1480,1031,826,902,1364,971,485
798,1586,532,1108,970,723,1601,1492,1078,1422,971,977,861,956,1324,1619,297
976,1691,860,1133,945,1622,1020,723,1081,1377,1225,963,1263,1055,1165,1151,472
1594,1485,1468,1005,858,803,1076,848,1037,1341,1237,1021,1186,994,1169,1295,390
1058,1274,513,1040,1392,1150,1571,1236,1071,1430,829,988,937,981,1376,1548,361
1024,1082,433,1334,1085,1744,1466,775,1149,1407,1024,1126,750,1111,1431,1282,143
683,1083,717,1642,1458,1736,1049,541,1044,1472,1055,1105,1331,883,1245,1145,540
874,1361,876,1275,1031,1689,1080,976,1114,1377,1233,991,1333,1000,1123,1109,472
1744,1260,1427,1111,1046,511,833,638,1011,1391,800,1163,927,1015,1238,1676,991
849,1501,485,987,1025,707,1716,1669,1178,1403,961,977,798,1025,1242,1696,297
876,1064,669,796,953,1661,1184,1605,1112,1430,1456,1139,730,975,1379,1059,485
800,1623,620,1075,1222,927,1524,1175,1044,1380,1168,969,1069,921,1283,1381,361
1696,1601,975,984,981,874,1175,825,1039,1484,1323,957,1002,1003,1157,1315,390
1187,1399,476,1090,1111,1419,1474,741,1093,1465,910,1151,708,1127,1383,1443,143
1077,951,683,1082,981,1629,1104,1634,1129,1372,1459,1124,917,1023,1254,1002,485
754,1690,823,1161,850,1571,1290,791,1177,1323,1254,1022,1220,1123,1187,974,472
1092,1338,447,1251,964,1041,1528,1525,1050,1338,969,959,989,925,1214,1667,297
800,1561,580,1019,1243,852,1658,1399,1171,1500,1055,884,989,873,1246,1554,361
1666,1689,1150,1126,867,463,987,616,1007,1420,849,1136,943,1084,1181,1628,991
694,1162,610,1545,1357,1744,1163,705,1070,1556,955,1107,1199,998,1322,1073,540
1727,1145,1177,999,879,835,972,1177,1026,1336,1490,900,1231,937,1197,1163,390
1034,1053,665,1023,890,1482,1208,1744,1069,1430,1459,1100,831,959,1380,1034,485
1281,1295,429,1349,1122,1595,1329,818,1080,1395,907,1177,764,1059,1401,1481,143
931,931,348,1144,1132,1009,1726,1683,1107,1331,775,881,823,1013,1312,1729,297
865,1404,719,953,1154,1060,1656,1386,1096,1252,806,972,988,1013,1464,1615,361
799,1381,872,1320,1016,1718,1007,1065,1074,1401,1310,984,1286,971,1232,1022,472
551,1087,577,1608,1533,1734,1205,590,1057,1523,897,1116,1342,945,1369,1012,540
1077,947,826,963,1020,1571,1258,1548,1049,1543,1321,1055,863,1035,1386,1024,485
1102,1375,451,1385,1100,1594,1439,766,1085,1427,924,1241,742,1084,1397,1380,143
1744,1405,1058,1195,880,559,996,777,985,1498,789,1127,903,1026,1200,1689,991
1604,1308,1146,1061,872,681,1058,1276,1046,1430,1254,893,1186,915,1098,1458,390
924,1282,445,1035,965,871,1736,1648,1100,1337,1001,908,928,920,1302,1692,297
776,1497,762,986,1248,1057,1542,1382,1034,1380,994,1072,958,1032,1326,1453,361
692,1234,689,1601,1354,1648,1079,660,1053,1432,1123,990,1395,920,1305,1062,540
1024,933,570,904,1168,1631,1125,1628,1062,1394,1514,1063,861,950,1275,1161,485
803,1570,912,1059,1068,1510,1296,896,1124,1373,1376,973,1197,1051,1209,977,472
1682,1643,1186,1020,1207,435,1054,606,1002,1610,1045,1126,929,898,1092,1501,991
1161,1109,607,1225,1242,1527,1501,784,1164,1220,1064,1053,889,1161,1416,1313,143
1640,1447,802,972,961,1067,1098,1010,1064,1418,1170,1088,1028,1083,1173,1256,390
951,964,437,1002,1265,860,1744,1570,1114,1425,835,835,883,971,1369,1700,297
887,1189,544,1559,1219,1744,1204,544,1145,1439,1054,992,1349,904,1246,1151,540
918,1376,527,1087,1284,954,1626,1405,1065,1379,848,918,1084,904,1296,1693,361
1744,1658,1054,1180,1154,465,975,613,1036,1496,849,1120,847,977,1261,1633,991
1242,1216,440,1239,1057,1687,1290,768,1080,1314,949,1187,802,1155,1444,1349,143
1057,1141,563,977,941,1636,1254,1527,1146,1496,1486,1073,808,940,1348,974,485
848,1600,757,1186,1073,1675,1092,775,1111,1407,1357,1008,1298,957,1141,1001,472
1099,1100,397,987,1162,933,1715,1596,1133,1352,835,916,885,962,1390,1708,297
1744,1405,1141,982,955,885,1125,779,1145,1446,1115,905,1087,1002,1207,1373,390
961,1452,647,927,1306,907,1545,1440,1022,1387,1094,976,1040,868,1295,1598,361
1643,1644,1006,1120,1237,684,990,599,931,1505,873,1193,942,976,1238,1545,991
680,1088,462,1601,1415,1611,1240,787,1123,1447,1124,981,1361,882,1227,1098,540
827,949,464,1322,1120,1744,1611,861,1194,1298,802,1332,707,1226,1539,1182,143
824,1502,829,1253,1004,1631,1252,729,1141,1481,1275,1015,1141,1100,1253,874,472
933,919,767,1075,844,1637,1297,1699,1163,1350,1500,1068,836,982,1433,948,485
976,1063,419,1072,1192,976,1744,1569,1106,1286,884,965,865,939,1297,1742,297
1701,1465,803,950,927,920,1191,913,1127,1389,1149,967,1047,1014,1229,1358,390
1165,1216,628,1177,1390,1526,1333,825,1040,1443,868,1124,897,1131,1431,1346,143
690,1339,644,1297,1330,1242,1476,1209,999,1364,922,1006,1197,938,1234,1591,361
1744,1459,1432,1118,968,490,914,560,996,1361,847,1172,919,1090,1113,1707,991
526,1243,578,1734,1394,1700,1109,642,1035,1508,1014,1168,1386,952,1314,903,540
1060,914,526,887,1091,1585,1273,1691,1134,1550,1155,1192,626,1033,1497,1093,485
904,1347,393,1169,1105,1199,1552,1531,1097,1425,870,1071,824,1104,1310,1579,297
1044,1497,879,1247,1159,1615,1112,575,1077,1408,1265,1004,1160,1146,1194,1026,472
592,1336,505,1673,1270,1705,1219,726,1061,1492,1016,1021,1291,1008,1302,1089,540
1027,1317,546,1360,1099,1556,1500,798,1127,1358,980,1135,795,1106,1410,1369,143
1744,1507,1115,1170,1235,547,905,650,1003,1476,837,1247,955,952,1120,1663,991
1035,1415,655,933,1269,867,1647,1291,1125,1204,927,1004,1091,929,1315,1599,361
1027,1076,712,851,994,1376,1308,1668,1043,1306,1413,1173,840,927,1393,1185,485
983,1353,403,1120,1132,849,1608,1649,1000,1319,1032,1000,991,959,1139,1738,297
1615,1539,789,1096,1001,884,1270,938,1078,1408,1209,938,1126,942,1262,1317,390
745,1647,652,1340,1046,1744,997,807,1097,1244,1201,1087,1338,1094,1121,1098,472
605,1374,680,1660,1281,1721,937,787,1080,1411,1232,967,1455,934,1197,987,540
845,1343,642,1101,1201,972,1599,1363,1095,1241,946,894,1031,1052,1283,1624,361
767,1480,749,1314,881,1689,1292,857,1165,1478,1269,967,1328,1066,1127,879,472
1053,1258,499,1275,1256,1649,1327,826,1140,1416,927,1191,765,1130,1387,1324,143
971,1228,462,885,857,1679,1283,1589,1067,1555,1370,1155,789,1097,1343,904,485
1726,1148,1057,943,1077,1127,1039,911,1098,1501,1140,948,1114,974,1146,1359,390
1098,1374,450,1006,1019,809,1671,1593,1066,1349,938,986,915,1013,1250,1665,297
1705,1615,1011,1034,1117,469,971,691,972,1523,915,1152,845,1021,1274,1575,991
1008,1457,614,958,1174,1164,1545,1301,1080,1362,1077,990,917,980,1469,1405,361
1117,1024,628,1022,821,1545,1182,1674,1167,1460,1381,1065,784,946,1444,1033,485
695,1393,638,1657,1134,1733,1039,781,1078,1406,1223,828,1479,858,1271,1117,540
1370,1387,416,1241,893,1628,1380,914,1147,1503,913,1149,708,994,1351,1515,143
1056,1496,376,1223,950,662,1736,1362,1137,1444,1048,872,846,957,1281,1648,297
787,1396,1112,1232,808,1652,1058,984,1047,1338,1390,846,1501,970,1026,1113,472
1713,1338,1062,954,954,939,1211,1031,1072,1478,1148,970,1097,947,1211,1350,390
1744,1442,1102,1006,920,496,962,743,981,1290,780,1219,854,1004,1209,1685,991
941,1168,508,970,1134,1390,1324,1676,1033,1555,1243,1182,764,1005,1454,1044,485
533,1362,413,1594,1364,1744,1271,693,1066,1462,978,1014,1294,1002,1437,1006,540
814,1630,526,1002,1268,844,1644,1326,1006,1451,929,1088,983,983,1371,1469,361
1224,1348,479,1171,1077,1544,1433,878,1073,1486,935,1081,763,1137,1347,1390,143
849,1482,713,1237,934,1700,1211,979,1001,1386,1327,946,1315,1069,1166,1070,472
1050,1161,502,914,1156,912,1624,1617,1096,1373,942,990,794,1053,1343,1643,297
1089,1028,561,949,1133,1581,1171,1606,1134,1339,1493,1063,918,946,1299,1087,485
1637,1181,735,1126,998,1382,1184,914,1054,1373,1137,995,1177,1136,1265,1143,390
1744,1448,1055,1194,1091,387,901,829,1005,1512,818,1211,813,1029,1307,1517,991
757,1409,604,1660,1364,1728,1094,604,1011,1549,1085,1013,1375,980,1303,957,540
1308,1333,565,1206,960,1553,1275,970,1156,1321,1009,1071,854,996,1432,1440,143
783,1194,505,1079,1379,924,1613,1516,1051,1404,976,938,1032,935,1347,1591,361
966,939,567,1065,1123,1565,1279,1647,1080,1531,1400,1104,912,922,1386,943,485
714,1470,800,1200,1094,1654,1081,880,1177,1403,1193,1012,1312,942,1151,1090,472
1562,1406,1232,1048,931,923,908,1002,1037,1360,1228,889,1217,905,1168,1476,390
1262,1328,446,1203,1057,1694,1350,781,1175,1416,897,1120,708,1140,1406,1418,143
705,1228,644,1525,1389,1656,1308,661,1114,1525,958,967,1415,859,1365,1077,540
952,1521,677,942,1243,876,1596,1377,1089,1441,926,969,1013,935,1269,1606,361
1744,1518,1135,1123,1156,512,1081,523,998,1518,973,1016,994,920,1149,1639,991
1104,1349,404,1132,937,1047,1587,1474,1147,1413,1023,969,886,963,1331,1548,297
1054,1065,869,866,974,1672,1067,1599,1072,1420,1441,1145,802,916,1357,1127,485
885,1547,930,1164,748,1744,1115,810,1097,1338,1466,956,1268,996,1180,979,472
680,1365,649,1669,1241,1712,978,705,1102,1400,1171,1015,1445,880,1233,1034,540
1651,1715,991,1168,1130,559,978,609,952,1702,1053,1044,928,914,1082,1556,991
1696,1579,884,981,742,1004,1238,909,1148,1480,1251,1027,1015,964,1178,1217,390
1277,1459,615,1230,1065,1466,1349,632,1062,1407,1066,1016,936,1024,1268,1501,143
730,1364,473,944,1067,901,1703,1666,1065,1492,967,921,943,922,1199,1665,297
1085,1050,552,911,908,1649,1322,1588,1142,1466,1496,1116,826,915,1292,1005,485
982,1691,709,1042,1370,773,1411,1217,1001,1191,1132,985,1119,938,1218,1605,361
995,1585,837,1260,913,1730,1117,747,1060,1309,1372,972,1370,1026,1142,1029,472
1326,1413,515,1229,1146,1540,1393,607,1051,1533,1024,1122,858,1009,1192,1457,143
1744,1489,1140,1168,1139,574,822,552,971,1580,962,1100,879,938,1238,1603,991
721,1112,532,1632,1264,1744,1093,715,1081,1402,1077,977,1362,1032,1348,1001,540
1306,1016,624,884,1019,1434,1362,1608,1095,1420,1431,1135,769,965,1420,1045,485
1027,1577,498,994,1000,979,1570,1472,1089,1482,1064,894,830,933,1214,1686,297
713,1480,845,1350,890,1599,1256,927,1122,1469,1305,955,1276,974,1234,945,472
799,1352,711,1039,1374,1014,1619,1371,1123,1454,876,967,1000,946,1398,1516,361
964,1193,582,1420,1017,1655,1318,829,1140,1505,819,1148,810,1090,1405,1363,143
1744,1361,665,987,1087,822,1149,945,1029,1437,1195,1005,1095,1067,1231,1221,390
1712,1687,1166,1234,954,553,890,645,964,1611,894,1067,893,992,1136,1629,991
699,1316,584,1562,1271,1707,1325,682,1082,1461,1022,983,1426,988,1272,1046,540
1018,1042,691,917,882,1637,1311,1546,1034,1416,1427,1107,853,986,1324,1133,485
760,1689,815,1261,838,1701,1128,887,1166,1301,1316,986,1291,1085,1241,894,472
1041,1498,422,1131,934,1015,1604,1385,1079,1393,947,1016,828,978,1406,1589,297
