(2, 25, None)
(4, 25, None)
(6, 25, None)
(8, 25, 0.4268774703557312)
(16, 25, 0.5)
(32, 25, 0.4482421875)
(64, 25, 0.35325820676139147)
(2, 375, None)
(4, 375, 0.5930232558139535)
(6, 375, None)
(8, 375, 0.7660818713450293)
(16, 375, 0.7739130434782608)
(32, 375, 0.7445573294629898)
(64, 375, 0.6380189366351056)
(2, 5, None)
(4, 5, 0.9384615384615385)
(6, 5, None)
(8, 5, 0.9457364341085271)
(16, 5, 0.8769230769230769)
(32, 5, 0.8940269749518305)
(64, 5, 0.8210831721470019)
(2, 625, 0.96)
(4, 625, 1.0)
(6, 625, None)
(8, 625, 1.0)
(16, 625, 0.9710144927536232)
(32, 625, 0.9467312348668281)
(64, 625, 0.9149453219927096)
(2, 875, 1.0)
(4, 875, 1.0)
(6, 875, None)
(8, 875, 1.0)
(16, 875, 1.0)
(32, 875, 0.9931506849315068)
(64, 875, 0.9862542955326461)
